colegio,loID,grado,tiempo
0,0,1,14.536908149719249
0,0,2,8.28374767303467
0,0,3,4.4456644058227495
0,0,4,4.57852363586426
0,0,5,4.430138587951659
0,1,1,11.8039698600769
0,1,2,5.71095275878906
0,1,3,3.2578010559082
0,1,4,3.0536117553710898
0,1,5,2.690515518188475
0,2,1,14.722044944763152
0,2,2,10.2796096801758
0,2,3,6.208440780639651
0,2,4,6.09070062637329
0,2,5,5.654895782470705
0,3,1,10.05258083343505
0,3,2,11.448474884033198
0,3,3,6.76956558227539
0,3,4,6.08940887451172
0,3,5,5.137752532958985
0,4,1,7.47316265106201
0,4,2,14.1558990478516
0,4,3,13.186882019042999
0,4,4,15.0708789825439
0,4,5,12.637996673583999
1,0,1,11.172901153564453
1,0,2,8.171689987182615
1,0,3,5.905170440673831
1,0,4,4.72953414916992
1,0,5,3.65745222551709
1,1,1,6.737924575805664
1,1,2,5.469143867492675
1,1,3,3.6199913024902344
1,1,4,2.87000274658203
1,1,5,2.5519514083862287
1,2,1,12.087352752685547
1,2,2,11.639093399047853
1,2,3,6.826186656951904
1,2,4,5.69927787780762
1,2,5,3.86903190617383
1,3,1,9.092092514038086
1,3,2,13.609970569610596
1,3,3,6.526484727859495
1,3,4,5.68255805969238
1,3,5,4.5593581197731945
1,4,1,8.16512775421143
1,4,2,13.655257225036639
1,4,3,14.321483612060549
1,4,4,14.18393325805664
1,4,5,11.053339000000001
